"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"1010139",42.391857,-71.092173,400003,""
"1010139",42.391662,-71.091915,400004,""
"1010139",42.391229,-71.091299,400005,""
"1010139",42.391129,-71.09116,400006,""
"1010139",42.390824,-71.090779,400007,""
"1010139",42.390696,-71.09054,400008,""
"1010139",42.390599,-71.090347,400009,""
"1010139",42.390536,-71.090227,400010,""
"1010139",42.390536,-71.090227,410001,""
"1010139",42.390484,-71.090127,410002,""
"1010139",42.390071,-71.089263,410003,""
"1010139",42.389879,-71.088839,410004,""
"1010139",42.389784,-71.088604,410005,""
"1010139",42.389784,-71.088604,420001,""
"1010139",42.389742,-71.088498,420002,""
"1010139",42.389682,-71.088384,420003,""
"1010139",42.38959,-71.088201,420004,""
"1010139",42.389432,-71.087818,420005,""
"1010139",42.389365,-71.087657,420006,""
"1010139",42.389359,-71.087642,420007,""
"1010139",42.389359,-71.087642,430001,""
"1010139",42.389047,-71.086938,430002,""
"1010139",42.388791,-71.086391,430003,""
"1010139",42.388657,-71.086077,430004,""
"1010139",42.388657,-71.086077,440001,""
"1010139",42.388612,-71.085971,440002,""
"1010139",42.388208,-71.085088,440003,""
"1010139",42.388064,-71.084785,440004,""
"1010139",42.387838,-71.084296,440005,""
"1010139",42.387838,-71.084296,450001,""
"1010139",42.387787,-71.084186,450002,""
"1010139",42.387655,-71.083778,450003,""
"1010139",42.387492,-71.083299,450004,""
"1010139",42.387161,-71.082344,450005,""
"1010139",42.387108,-71.082153,450006,""
"1010139",42.387108,-71.082153,460001,""
"1010139",42.386994,-71.081747,460002,""
"1010139",42.38688,-71.081339,460003,""
"1010139",42.386728,-71.080809,460004,""
"1010139",42.386675,-71.080617,460005,""
"1010139",42.386675,-71.080617,470001,""
"1010139",42.386668,-71.080594,470002,""
"1010139",42.386504,-71.079992,470003,""
"1010139",42.386426,-71.079752,470004,""
"1010139",42.38628,-71.079215,470005,""
"1010139",42.386167,-71.078839,470006,""
"1010139",42.386106,-71.078635,470007,""
"1010139",42.386106,-71.078635,480001,""
"1010139",42.38593,-71.078038,480002,""
"1010139",42.385823,-71.077639,480003,""
"1010139",42.385752,-71.077387,480004,""
"1010139",42.385737,-71.077334,480005,""
"1010139",42.385609,-71.076901,480006,""
"1010139",42.385507,-71.076677,480007,""
"1010139",42.385359,-71.076391,480008,""
"1010139",42.385234,-71.076232,480009,""
"1010139",42.385141,-71.076169,480010,""
"1010139",42.385071,-71.076167,480011,""
"1010139",42.384984,-71.076194,480012,""
"1010139",42.384679,-71.076401,480013,""
"1010139",42.384501,-71.076471,480014,""
"1010139",42.384274,-71.076491,480015,""
"1010139",42.384129,-71.076494,480016,""
